setup,grounded,condition,N_init_corr,N_flips,true_ASR,CW_ASR,mean_final_conf_on_flips,pct_flips_conf_ge_8,pct_flips_conf_le_5,mean_init_conf
Cross-Family (Llama 70B x GPT-OSS 120B),False,authority,49.0,48.0,0.9796,0.9041,9.23,0.9375,0.0625,8.59
Cross-Family (Llama 70B x GPT-OSS 120B),False,control,49.0,36.0,0.7347,0.4612,6.28,0.3889,0.1389,8.61
Cross-Family (Llama 70B x GPT-OSS 120B),False,fabricated_citation,44.0,36.0,0.8182,0.4841,5.92,0.5278,0.4722,8.61
Cross-Family (Llama 70B x GPT-OSS 120B),True,authority,79.0,68.0,0.8608,0.8228,9.56,0.9706,0.0147,9.15
Cross-Family (Llama 70B x GPT-OSS 120B),True,control,82.0,38.0,0.4634,0.3732,8.05,0.8684,0.1316,9.24
Cross-Family (Llama 70B x GPT-OSS 120B),True,fabricated_citation,83.0,40.0,0.4819,0.359,7.45,0.775,0.225,9.13
GPT-OSS (Within-Family),False,authority,106.0,62.0,0.5849,0.5009,8.56,0.9677,0.0323,7.99
GPT-OSS (Within-Family),False,control,106.0,30.0,0.283,0.1925,6.8,0.3333,0.1667,8.26
GPT-OSS (Within-Family),False,fabricated_citation,93.0,19.0,0.2043,0.1677,8.21,0.9474,0.0,8.13
GPT-OSS (Within-Family),True,authority,108.0,33.0,0.3056,0.263,8.61,0.9394,0.0303,9.01
GPT-OSS (Within-Family),True,control,113.0,12.0,0.1062,0.0805,7.58,0.5,0.0,8.93
GPT-OSS (Within-Family),True,fabricated_citation,96.0,11.0,0.1146,0.0896,7.82,0.7273,0.0909,8.89
Llama (Within-Family),False,authority,69.0,67.0,0.971,0.7623,7.85,0.8209,0.1045,8.57
Llama (Within-Family),False,control,69.0,52.0,0.7536,0.4058,5.38,0.0769,0.3269,8.54
Llama (Within-Family),False,fabricated_citation,75.0,69.0,0.92,0.7493,8.14,0.8986,0.1014,8.55
Llama (Within-Family),True,authority,138.0,89.0,0.6449,0.4928,7.64,0.7978,0.1124,9.01
Llama (Within-Family),True,control,156.0,91.0,0.5833,0.3429,5.88,0.2857,0.1978,8.95
Llama (Within-Family),True,fabricated_citation,148.0,101.0,0.6824,0.5345,7.83,0.8119,0.1485,8.98
